사가, 47, 166
아사, 46, 196
마바, 61, 157
아아, 58, 174
카아, 81, 184
가아, 90, 141
라아, 40, 161
자카, 65, 198
마나, 98, 149
가가, 82, 165
라하, 68, 167
타하, 72, 193
아바, 96, 182
라나, 55, 183
다사, 68, 183
마가, 57, 191
마라, 77, 178
아타, 83, 175
사가, 89, 175
파바, 49, 165
파카, 70, 156
차하, 54, 190
카나, 50, 199
라카, 82, 176
가바, 77, 156
나나, 64, 153
타라, 71, 187
마파, 48, 170
차마, 43, 162
자차, 87, 181
아차, 57, 140
바차, 85, 180
바바, 43, 183
자차, 77, 177
나카, 99, 197
차타, 87, 155
아차, 75, 150
자가, 46, 194
사하, 49, 153
아차, 62, 147
바자, 56, 168
바하, 89, 151
타타, 85, 195
카다, 71, 198
가파, 83, 160
사바, 65, 157
하타, 82, 166
자자, 63, 145
카사, 88, 182
자타, 67, 158
파사, 92, 167
바다, 40, 174
카타, 41, 192
아하, 95, 177
하바, 62, 173
다나, 74, 188
카나, 40, 140
하자, 79, 161
아자, 74, 183
하사, 56, 194
파카, 73, 170
나바, 44, 184
아자, 50, 164
사파, 80, 180
카바, 43, 146
나바, 78, 188
차아, 89, 196
마바, 56, 182
마하, 50, 178
바자, 60, 170
마나, 48, 147
차파, 75, 179
파자, 80, 176
자타, 91, 173
나가, 79, 149
하타, 43, 163
사자, 74, 179
아하, 78, 164
아가, 75, 171
다바, 72, 148
바차, 40, 193
자카, 45, 153
라나, 69, 153
자마, 58, 182
라차, 67, 183
라나, 72, 198
바나, 43, 155
다자, 72, 190
타사, 41, 176
마나, 92, 176
바하, 88, 157
아아, 90, 194
바아, 86, 153
가가, 84, 167
마차, 40, 171
타아, 48, 190
타나, 97, 182
아아, 87, 164
라나, 72, 174
자가, 41, 189
가차, 54, 143
다타, 77, 199
차나, 63, 157
파파, 88, 143
바마, 67, 191
나나, 64, 149
다사, 58, 185
나라, 47, 140
라라, 59, 148
바하, 61, 194
타사, 43, 145
카하, 57, 188
파아, 68, 169
라사, 48, 163
자차, 41, 177
나바, 69, 161
나라, 94, 166
마가, 69, 142
차사, 94, 142
사타, 61, 151
하마, 80, 152
마바, 78, 149
마하, 67, 186
라마, 40, 188
가사, 94, 159
바다, 51, 141
아카, 49, 166
자자, 86, 194
아사, 89, 199
마자, 42, 150
라바, 96, 175
바자, 77, 152
나자, 95, 171
타아, 85, 154
차바, 84, 147
차바, 52, 171
가자, 82, 196
바가, 74, 160
다타, 45, 153
차하, 73, 161
카차, 41, 182
나나, 99, 170
파자, 48, 177
사파, 72, 160
차다, 60, 161
파라, 81, 155
아바, 87, 160
하사, 77, 160
가바, 65, 148
자라, 41, 140
타다, 74, 176
라마, 82, 142
아사, 94, 166
라타, 71, 175
다아, 90, 168
바바, 71, 194
마하, 58, 183
파아, 75, 186
나차, 57, 190
카파, 53, 179
차마, 72, 185
차하, 40, 156
가사, 89, 141
하사, 75, 173
사바, 59, 155
파차, 97, 146
라파, 40, 155
사타, 66, 152
다카, 57, 168
나바, 81, 158
사차, 99, 193
바마, 45, 160
다마, 48, 195
하파, 53, 185
나차, 91, 149
아바, 63, 189
하마, 60, 153
가타, 41, 170
라차, 79, 195
가라, 91, 199
차하, 67, 192
나바, 53, 170
자파, 59, 146
차차, 77, 199
나나, 65, 191
바다, 76, 157
아바, 54, 199
마하, 46, 198
다나, 78, 176
라하, 54, 179
하다, 65, 185
하하, 73, 184
카다, 62, 181
차타, 67, 140
사하, 55, 196
자자, 48, 155
카사, 83, 199
라카, 87, 152
다마, 46, 149
다나, 59, 157
가마, 85, 182
아타, 71, 179
사아, 99, 185
자타, 94, 159
라타, 71, 157
다파, 92, 163
사하, 56, 151
차라, 98, 161
바아, 72, 187
나아, 61, 167
라마, 97, 168
다가, 84, 187
가파, 86, 167
아아, 41, 188
사카, 64, 186
사하, 50, 159
라마, 61, 163
사바, 94, 143
가차, 89, 142
사나, 72, 195
아차, 71, 192
아파, 85, 172
파마, 57, 145
가카, 91, 152
파자, 50, 176
가차, 45, 162
아가, 88, 198
파파, 91, 192
다파, 93, 178
카사, 81, 146
나마, 75, 149
차마, 74, 165
하마, 96, 177
사자, 40, 194
차사, 56, 160
카카, 66, 184
